ApplID,lat,long
D032415,40.196,-123.88
D032481,40.47585,-123.6588194
S027403,40.279752,-123.671714
S027348,40.431543,-123.712463
D032569,40.127,-123.718
S027328,40.288772,-123.677075
S027438,38.519842,-123.129936
S027338,38.968346,-123.164487
S027347,40.521509,-123.639127
S027349,40.418282,-123.941881
S027350,40.418337,-123.940687
S027500,38.520678,-123.12858
S017943,37.7145,-121.2676
S027318,40.1015,-123.909
D032491,40.394,-123.579
D032491,40.3925,-123.579
D032498,40.13,-123.9359
D032498,40.129,-123.9368
D032540,40.07565,-123.994
D032540,40.077,-123.999
S027317,40.1586,-124.0022
S027323,40.1599,-124.0028
S027322,40.1968,-124.0991
S027320,40.2069,-123.9808
D032497,40.527,-123.616
D032497,40.527,-123.614
D032497,40.522,-123.615
D032497,40.525,-123.617
S027327,40.04451,-123.96303
S027316,40.470585,-123.729338
L032862,38.22155824,-122.9363402
D032503,40.6022,-123.69
D032503,40.6012,-123.69
D032492,40.403,-123.585
S027325,40.1605,-124.0026
S027341,40.78895,-123.6745102
S027321,40.227,-124.0407
S027340,35.41669,-120.574923
D032495,40.22229167,-123.5559111
D032495,40.22151667,-123.5561778
D032494,40.3888,-123.578
D032493,40.4,-123.583
S027324,40.156,-123.9951
S027657,41.834054,-122.665258
S027339,40.262957,-124.111511
D032487,40.1718,-123.604
S027380,40.02849,-122.517109
D032489,40.062,-123.998
S026517,40.5167518,-123.6207333
D032488,40.147,-123.65
S027342,40.1002,-123.671
